article_key,article_label,법제처_산업안전보건기준에 관한 규칙(고용노동부령)(제00454호):first_page,법제처_산업안전보건기준에 관한 규칙(고용노동부령)(제00454호):pages,법제처_산업안전보건기준에 관한 규칙(고용노동부령)(제00454호):titles,안전보건공단_만화로보는 산업안전보건기준에 관한 규칙:first_page,안전보건공단_만화로보는 산업안전보건기준에 관한 규칙:pages,안전보건공단_만화로보는 산업안전보건기준에 관한 규칙:titles
562,제562조,102,102,고열ㆍ폭염장해 예방 조치,258,258,고열·폭염장해 예방 조치
563,제563조,103,103,한랭장해 예방 조치,259,259,한랭장해 예방 조치
564,제564조,103,103,다습장해 예방 조치,260,260,다습장해 예방 조치
565,제565조,103,103,가습,260,260,가습
566,제566조,103,103,휴식 등,260,260,휴식 등
567,제567조,103,103,휴게시설의 설치,260,260,휴게시설의 설치
568,제568조,103,103,갱내의 온도,261,261,갱내의 온도
569,제569조,103,103,출입의 금지,261,261,출입의 금지
570,제570조,103,103,세척시설 등,262,262,세척시설 등
571,제571조,103,103,소금과 음료수 등의 비치,262,262,소금과 음료수 등의 비치
572,제572조,104,104,보호구의 지급 등,262,262,보호구의 지급 등
573,제573조,104,104,정의,264,264,정의
574,제574조,104,104,방사성물질의 밀폐 등,264,264,방사성물질의 밀폐 등
575,제575조,104,104,방사선관리구역의 지정 등,265,265,방사선관리구역의 지정 등
576,제576조,105,105,방사선 장치실,265,265,방사선 장치실
577,제577조,105,105,방사성물질 취급 작업실,265,265,방사성물질 취급 작업실
578,제578조,105,105,방사성물질 취급 작업실의 구조,266,266,방사성물질 취급 작업실의 구조
579,제579조,105,105,게시 등,266,266,게시 등
580,제580조,105,105,차폐물 설치 등,266,266,차폐물 설치 등
581,제581조,106,106,국소배기장치 등,266,266,국소배기장치 등
582,제582조,106,106,방지설비,267,267,방지설비
583,제583조,106,106,방사성물질 취급용구,267,267,방사성물질 취급용구
584,제584조,106,106,용기 등,267,267,용기 등
585,제585조,106,106,오염된 장소에서의 조치,267,267,오염된 장소에서의 조치
586,제586조,106,106,방사성물질의 폐기물 처리,268,268,방사성물질의 폐기물 처리
587,제587조,106,106,보호구의 지급 등,268,268,보호구의 지급 등
588,제588조,106,106,오염된 보호구 등의 폐기,268,268,오염된 보호구 등의 폐기
589,제589조,106,106,세척시설 등,268,268,세척시설 등
590,제590조,106,106,흡연 등의 금지,269,269,흡연 등의 금지
591,제591조,106,106,유해성 등의 주지,269,269,유해성 등의 주지
592,제592조,107,107,정의,271,271,정의
593,제593조,107,107,적용 범위,271,271,적용 범위
594,제594조,107,107,감염병 예방 조치 등,272,272,감염병 예방 조치 등
595,제595조,107,107,유해성 등의 주지,272,272,유해성 등의 주지
596,제596조,107,107,환자의 가검물 등에 의한 오염 방지 조치,272,272,환자의 가검물 등에 의한 오염 방지 조치
597,제597조,108,108,혈액노출 예방 조치,273,273,혈액노출 예방 조치
598,제598조,108,108,혈액노출 조사 등,274,274,혈액노출 조사 등
599,제599조,108,108,세척시설 등,274,274,세척시설 등
600,제600조,108,108,개인보호구의 지급 등,274,274,개인보호구의 지급 등
601,제601조,109,109,예방 조치,275,275,예방 조치
602,제602조,109,109,노출 후 관리,276,276,노출 후 관리
603,제603조,109,109,예방 조치,276,276,예방 조치
604,제604조,109,109,노출 후 관리,277,277,노출 후 관리
605,제605조,109,109,정의,279,279,정의
606,제606조,110,110,적용 제외,279,279,적용 제외
607,제607조,110,110,국소배기장치의 설치,280,280,국소배기장치의 설치
608,제608조,110,110,전체환기장치의 설치,280,280,전체환기장치의 설치
609,제609조,110,110,국소배기장치의 성능,280,280,국소배기장치의 성능
611,제611조,110,110,설비에 의한 습기 유지,281,281,설비에 의한 습기 유지
612,제612조,110,110,사용 전 점검 등,281,281,사용 전 점검 등
613,제613조,111,111,청소의 실시,281,281,청소의 실시
614,제614조,111,111,분진의 유해성 등의 주지,282,282,분진의 유해성 등의 주지
615,제615조,111,111,세척시설 등,282,282,세척시설 등
616,제616조,111,111,호흡기보호 프로그램 시행 등,282,282,호흡기보호 프로그램 시행 등
617,제617조,111,111,호흡용 보호구의 지급 등,282,282,호흡용 보호구의 지급 등
618,제618조,112,112,정의,284,284,정의
619,제619조,112,112,밀폐공간 작업 프로그램의 수립ㆍ시행,284,284,밀폐공간 작업 프로그램의 수립·시행
619-2,제619조의2,112,112,산소 및 유해가스 농도의 측정 및 기록 등,285,285,산소 및 유해가스 농도의 측정
620,제620조,113,113,환기 등,285,285,환기 등
621,제621조,113,113,인원의 점검,286,286,인원의 점검
622,제622조,113,113,출입의 금지,286,286,출입의 금지
623,제623조,113,113,감시인의 배치 등,286,286,감시인의 배치 등
624,제624조,113,113,안전대 등,286,286,안전대 등
625,제625조,113,113,대피용 기구의 비치,287,287,대피용 기구의 비치
626,제626조,113,113,상시 가동되는 급ㆍ배기 환기장치를 설치한 경우의 특례,287,287,상시 가동되는 급·배기 환기장치를 설치한 경우의 특례
627,제627조,114,114,유해가스의 처리 등,287,287,유해가스의 처리 등
628,제628조,114,114,이산화탄소를 사용하는 소화기에 대한 조치,288,288,이산화탄소를 사용하는 소화기에 대한 조치
628-2,제628조의2,114,114,이산화탄소를 사용하는 소화설비 및 소화용기에 대한 조치,288,288,이산화탄소를 사용하는 소화설비 및 소화용기에 대한 조치
629,제629조,115,115,용접 등에 관한 조치,289,289,용접 등에 관한 조치
630,제630조,115,115,불활성기체의 누출,290,290,불활성기체의 누출
631,제631조,115,115,불활성기체의 유입 방지,290,290,불활성기체의 유입 방지
632,제632조,115,115,냉장실 등의 작업,291,291,냉장실 등의 작업
633,제633조,115,115,출입구의 임의잠김 방지,291,291,출입구의 임의잠김 방지
634,제634조,115,115,가스배관공사 등에 관한 조치,291,291,가스배관공사 등에 관한 조치
635,제635조,115,115,압기공법에 관한 조치,292,292,압기공법에 관한 조치
636,제636조,116,116,지하실 등의 작업,292,292,지하실 등의 작업
637,제637조,116,116,설비 개조 등의 작업,293,293,설비 개조 등의 작업
638,제638조,116,116,사후조치,293,293,사후조치
639,제639조,116,116,사고 시의 대피 등,293,293,사고 시의 대피 등
640,제640조,116,116,긴급 구조훈련,294,294,긴급 구조훈련
641,제641조,116,116,안전한 작업방법 등의 주지,294,294,안전한 작업방법 등의 주지
642,제642조,116,116,의사의 진찰,295,295,의사의 진찰
643,제643조,117,117,구출 시 공기호흡기 또는 송기마스크의 사용,295,295,구출 시 공기호흡기 또는 송기마스크의 사용
644,제644조,117,117,보호구의 지급 등,295,295,보호구의 지급 등
646,제646조,117,117,정의,297,297,정의
647,제647조,117,117,공기정화설비등의 가동,297,297,공기정화설비등의 가동
648,제648조,117,117,공기정화설비등의 유지관리,298,298,공기정화설비등의 유지관리
649,제649조,117,117,사무실공기 평가,298,298,사무실공기 평가
650,제650조,117,117,실외 오염물질의 유입 방지,298,298,실외 오염물질의 유입 방지
651,제651조,117,117,미생물오염 관리,298,298,미생물오염 관리
652,제652조,118,118,건물 개ㆍ보수 시 공기오염 관리,299,299,건물 개·보수 시 공기오염 관리
653,제653조,118,118,사무실의 청결 관리,299,299,사무실의 청결 관리
654,제654조,118,118,보호구의 지급 등,300,300,보호구의 지급 등
655,제655조,118,118,유해성 등의 주지,300,300,유해성 등의 주지
656,제656조,118,118,정의,302,302,정의
657,제657조,118,118,유해요인 조사,302,302,유해요인 조사
658,제658조,119,119,유해요인 조사 방법 등,303,303,유해요인 조사 방법 등
659,제659조,119,119,작업환경 개선,303,303,작업환경 개선
660,제660조,119,119,통지 및 사후조치,303,303,통지 및 사후조치
661,제661조,119,119,유해성 등의 주지,304,304,유해성 등의 주지
662,제662조,119,119,근골격계질환 예방관리 프로그램 시행,304,304,근골격계질환 예방관리 프로그램 시행
663,제663조,120,120,중량물의 제한,305,305,중량물의 제한
664,제664조,120,120,작업 시간과 휴식시간 등의 배분,305,305,작업 시간과 휴식시간 등의 배분
665,제665조,120,120,중량의 표시 등,305,305,중량의 표시 등
666,제666조,120,120,작업자세 등,305,305,작업자세 등
667,제667조,120,120,컴퓨터 단말기 조작업무에 대한 조치,307,307,컴퓨터 단말기 조작업무에 대한 조치
668,제668조,120,120,비전리전자기파에 의한 건강장해 예방 조치,307,307,비전리전자기파에 의한 건강장해 예방 조치
669,제669조,120,120,직무스트레스에 의한 건강장해 예방 조치,308,308,직무스트레스에 의한 건강장해 예방 조치
670,제670조,121,121,농약원재료 방제작업 시의 조치,309,309,농약원재료 방제작업 시의 조치
672,제672조,121,121,특수형태근로종사자에 대한 안전조치 및 보건조치,311,311,특수형태근로종사자에 대한 안전조치 및 보건조치
673,제673조,122,122,배달종사자에 대한 안전조치 등,312,312,배달종사자에 대한 안전조치 등
674,제674조,123,123,규제의 재검토,312,312,규제의 재검토
